Date,AAPL,GOOGL,IBM
2022-12-15,135.74127197265625,90.86000061035156,135.62420654296875
2022-12-16,133.76234436035156,90.26000213623047,133.52828979492188
2022-12-19,131.63421630859375,88.44000244140625,132.29933166503906
2022-12-20,131.5646209716797,89.0199966430664,134.59530639648438
2022-12-21,134.69711303710938,89.58000183105469,135.41461181640625
2022-12-22,131.49501037597656,87.76000213623047,134.2142333984375
2022-12-23,131.12705993652344,89.2300033569336,134.9477996826172
2022-12-27,129.30723571777344,87.38999938964844,135.68136596679688
2022-12-28,125.33940887451172,86.0199966430664,133.39492797851562
2022-12-29,128.8895721435547,88.44999694824219,134.38571166992188
2022-12-30,129.20777893066406,88.2300033569336,134.2237548828125
